"","sample_ID","SOC_stock_100","SOC_stock_30","SOC_stock_60","SOC_stock_120","SOC_stock_full","maxdepth","n","lat","lon","SOC_stock_0to30","SOC_stock_30to60","SOC_stock_60to100","SOC_stock_100to120","WIP","EVI","MNDWI","NDVI","LITHOL"
"1","E-ML-FR-H-1040",698.794612354,216.951525091,459.803587191,698.794612354,698.794612354,100,6,47.77839,-124.116967,216.951525091,242.8520621,238.991025163,0,0.844197146927854,0.602252646353289,-0.547585052698473,0.859653681632466,"glac_drift"
"2","H-C-01-DNR-WET",446.1752769336,143.29641726,322.413113948,451.2069243528,451.2069243528,104,4,47.8030232,-124.1839172,143.29641726,179.116696688,123.7621629856,5.0316474192,0.853807812191707,0.45391822787956,-0.477648346263664,0.843452192998336,"glac_drift"
"3","H-C-02-DNR",207.07669046425,153.84117431875,196.8004993675,207.07669046425,207.07669046425,75,4,47.7967922,-124.2027246,153.84117431875,42.95932504875,10.27619109675,0,0.900055031700625,0.538991865729481,-0.441351036637178,0.870764668730106,"till_outwash"
"4","H-C-05-2020",31.6654519942,29.6858773608,31.2120623512,31.6654519942,31.6654519942,77,4,47.7842879,-124.2575462,29.6858773608,1.5261849904,0.453389642999998,0,0.775113904960105,0.65895302609625,-0.592774656248643,0.877955166645363,"alluvium_marine_water"
"5","H-C-06-DNR",337.309244382,136.76006532,238.20296587,349.988766462,349.988766462,120,4,47.794113,-124.1076648,136.76006532,101.44290055,99.106278512,12.67952208,0.473757721086996,0.511891420824591,-0.548687954031202,0.839283128631331,"glac_drift"
"6","H-C-08-DNR",242.874711185,142.205229477,233.152782185,242.874711185,242.874711185,85,4,47.7964977,-124.235421,142.205229477,90.947552708,9.72192899999999,0,0.164716861479789,0.27693754830481,-0.600495915562578,0.483486029798396,"glac_drift"
"7","H-C-10-2020",312.24526775895,157.485015426,249.6395464482,316.40361576465,316.40361576465,118,6,47.7997103,-124.2140862,157.485015426,92.1545310222,62.60572131075,4.15834800569996,0.580327466266239,0.54210587454615,-0.451836682314419,0.905153706453,"till_outwash"
"8","H-C-11R2-TNC",103.5657029918,62.920741632,96.5517918876,103.5657029918,103.5657029918,73,5,47.8098685,-124.0893719,62.920741632,33.6310502556,7.0139111042,0,0.393914018505327,0.491265704072731,-0.461399655972653,0.896371749474206,"alluvium_marine_water"
"9","H-C-14-2020",120.0232545582,78.612473658,108.9257320034,120.0232545582,120.0232545582,100,5,47.77797,-124.09522,78.612473658,30.3132583454,11.0975225548,0,0.214673977775364,0.397713600126068,-0.607504714615696,0.66079445975846,"glac_drift"
"10","H-C-16-TNC",211.036292274,84.68619646,150.336049054,227.515740974,229.163685844,122,6,47.82126,-124.12246,84.68619646,65.649852594,60.70024322,16.4794487,0.108467377823298,0.634595396929405,-0.514698581925205,0.913846086738566,"glac_drift"
"11","H-C-19-DNR",229.1406847818,125.483098074,198.5334320115,233.487368169,233.487368169,106,4,47.78582,-124.13073,125.483098074,73.0503339375,30.6072527703,4.34668338719999,0.251791820396377,0.524936067337269,-0.499217963086897,0.91486741251926,"glac_drift"
"12","H-C-23-2020",47.939272174,37.8705720065,47.939272174,47.939272174,47.939272174,55,3,47.7808602,-124.112815,37.8705720065,10.0687001675,0,0,0.14089532798758,0.465346554480645,-0.533195300691298,0.88015697140095,"till_outwash"
"13","H-C-28-DNR",184.416472161,110.142407031,169.900049391,184.416472161,184.416472161,80,4,47.7823229,-124.1823064,110.142407031,59.75764236,14.51642277,0,0.246143222685259,0.295476568006303,-0.627847790894692,0.570857355853379,"glac_drift"
"14","H-C-30-2020",236.8661167857,63.2222480813,133.3765537673,266.3504012634,266.3504012634,120,5,47.7927369,-124.1614777,63.2222480813,70.154305686,103.4895630184,29.4842844777,0.0574843288982744,0.41005703657957,-0.464806396977371,0.822284596059808,"glac_drift"
"15","H-CE-20-DNR",250.1150743849,132.163793913,194.4438636521,250.1150743849,250.1150743849,100,5,47.77198,-124.12379,132.163793913,62.2800697391,55.6712107328,0,0.314333525911875,0.503388205586996,-0.498939129197164,0.889125545491045,"till_outwash"
"16","H-CN-17R2-DNR",183.0157417872,68.5510687956,144.5695098636,183.0157417872,183.0157417872,89,4,47.8386463,-124.2431079,68.5510687956,76.018441068,38.4462319236,0,0.20220289466112,0.432821337091229,-0.554624294076362,0.67024513313383,"till_outwash"
"17","H-CW-12-TNC",230.565138441,118.869943977,196.743913407,231.45372483,231.45372483,102,7,47.74994,-124.3624,118.869943977,77.87396943,33.821225034,0.888586388999983,0.271084339227577,0.566529060604841,-0.415092270051704,0.904329810443535,"till_outwash"
"18","H-CW-14-TNC",317.1873179209,153.393803646,268.7670928984,331.6768885234,331.6768885234,117,5,47.72994,-124.34051,153.393803646,115.3732892524,48.4202250225,14.4895706025,0.207493323915601,0.52276605598694,-0.457086850816251,0.879039188653066,"till_outwash"
"19","H-CW-19R2-TNC",98.4757248345,67.5127063971,86.5928178057,98.4757248345,98.4757248345,84,6,47.7316471,-124.3212659,67.5127063971,19.0801114086,11.8829070288,0,0.0730975548527008,0.493537405982516,-0.570926354931029,0.775045510052138,"till_outwash"
"20","H-E-07-2020",33.07998214065,12.45038358825,20.54794626625,35.07701412865,35.29713940465,123,5,47.8053501,-123.9937189,12.45038358825,8.097562678,12.5320358744,1.997031988,0.494528386363055,0.601749747804268,-0.552960904869,0.910572887045647,"alluvium_marine_water"
"21","H-E-29-2020",36.477153387,36.0168731985,36.477153387,36.477153387,36.477153387,32,2,47.8017882,-124.0374114,36.0168731985,0.4602801885,0,0,0.0356308588260555,0.31782277391323,-0.56372724464753,0.625298716054326,"MioEo"
"22","H-HS-1",124.979147568,89.5880990592,114.689312778,124.979147568,124.979147568,90,5,47.83174,-124.01919,89.5880990592,25.1012137188,10.28983479,0,0.00429350300641351,0.541888447415799,-0.4616065701815,0.884911399303617,"MioEo"
"23","H-HS-2",34.4476772934,30.1018475274,34.4476772934,34.4476772934,34.4476772934,60,4,47.78976,-124.0379,30.1018475274,4.345829766,0,0,0.0862629544474036,0.556420157683693,-0.472038269484696,0.88525954120246,"MioEo"
"24","H-W-06-TNC",54.9598748315,53.699958014,54.387185369,54.9598748315,54.9598748315,85,3,47.7414433,-124.3933095,53.699958014,0.687227354999997,0.572689462499994,0,0.589319179229443,0.676104066169298,-0.540587881975895,0.907431154395927,"alluvium_marine_water"
"25","H-W-08-TNC",233.991287493,102.621860945,182.471298973,247.778575545,261.27121492,145,6,47.73899,-124.39617,102.621860945,79.849438028,51.51998852,13.787288052,0.193021653040197,0.490137245772977,-0.476849022970923,0.85877339743461,"till_outwash"
"26","H-W-11-2020",343.409789255,195.428193415,299.183144035,356.618718535,356.618718535,120,6,47.73672,-124.27909,195.428193415,103.75495062,44.22664522,13.20892928,0.621688351695678,0.533737671572437,-0.475462503554249,0.910839721815243,"till_outwash"
"27","H-W-13-2020",397.06517935,182.972817144,340.815393524,405.959493106,405.959493106,118,4,47.739433,-124.3021814,182.972817144,157.84257638,56.249785826,8.89431375599997,0.360955614797273,0.425924902577061,-0.440005337529617,0.873091188697447,"till_outwash"
"28","H-W-15-2020",236.55334077,119.862427832,220.415741442,241.95994619,241.95994619,120,5,47.6979894,-124.3745599,119.862427832,100.55331361,16.137599328,5.40660542000001,0.381429697861536,0.463706537644984,-0.420278826587868,0.810188963890666,"till_outwash"
"29","H-W-22-2020",419.628915273,100.788745611,270.208344393,436.069588673,441.394049873,130,7,47.73697,-124.29136,100.788745611,169.419598782,149.42057088,16.4406734,0.347625316756916,0.494128811274303,-0.451850253851934,0.857277712314715,"till_outwash"
"30","H-W-26-2020",156.28865237,107.1000468624,151.251207958,156.28865237,156.28865237,100,4,47.69875,-124.37003,107.1000468624,44.1511610956,5.03744441199999,0,0.105290467128109,0.51563361575327,-0.435110479309425,0.900793011388972,"till_outwash"
"31","Hoh-ML-FR-1008.1",294.9641818782,142.9561493107,230.9815938542,294.9641818782,294.9641818782,100,5,47.7975,-124.18878,142.9561493107,88.0254445435,63.9825880239999,0,0.268137180258697,0.258102378338345,-0.599859399139548,0.452610886882382,"till_outwash"
"32","Hoh-ML-NE-FR-1043",672.460587591,156.443577285,390.123061275,780.383863431,780.383863431,116,4,47.7872,-124.11036,156.443577285,233.67948399,282.337526316,107.92327584,0.842188609964192,0.497450719762402,-0.445253794998795,0.872584054668473,"glac_drift"
"33","N-Mid-Hoh-MC",115.7474053195,88.896975676,110.2773361615,115.7474053195,115.7474053195,88,4,47.813808,-124.129756,88.896975676,21.3803604855,5.470069158,0,0.459590838455514,0.48134555287828,-0.553167627325459,0.897642092984686,"alluvium_marine_water"
"34","N-Up-Hoh-MC",120.7235374954,78.166713583,113.730314079,120.7235374954,120.7235374954,80,6,47.821061,-124.042698,78.166713583,35.563600496,6.9932234164,0,0.0731426895231084,0.700751886506927,-0.54380241454692,0.900765074709773,"glac_drift"
"35","S-Hoh-ML-FR-1200",115.0706884121,77.7522965585,115.0706884121,115.0706884121,115.0706884121,43,3,47.789367,-124.166635,77.7522965585,37.3183918536,0,0,0.210954647768367,0.552665341808896,-0.448108457085903,0.891477846763691,"glac_drift"
"36","W Hoh Oxbow",69.560918829,68.368199664,69.560918829,69.560918829,69.560918829,40,4,47.81075,-124.2607,68.368199664,1.192719165,0,0,0.161962823032454,0.679473096208468,-0.494811915767917,0.911427122566602,"till_outwash"
